FID,important,date_note,joinID,lake_name,state_province,year,source,intro_no,fish,effect,effect_notes,fish_note,kokanee,lake_trout,rainbow,various_trout,intro_mode,Longitude_Source,about,Latitude_Source,other,alt_name,year_est,amount,est,unintentional,lon,lat
,,,1130,Lake Sakakawea,North Dakota,1974,Twin Lakes Reservoir,2,kokanee-trout,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-102.33,47.79
,,,1131,Lake Sakakawea,North Dakota,1979,Twin Lakes Reservoir,3,kokanee-trout,,,,,,,,Introduced,-106.33,,39.08,,,,,No,,-102.33,47.79
26,,,1170,Crescent Lake,Oregon,1966,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,100000,No,,-121.99,43.48
,,,1171,Crescent Lake,Oregon,1967,Waterton Lake ,2,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,100000,,,-121.99,43.48
30,,,1173,Cultus Lake,Oregon,1965,Waterton Lake ,1,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,1988,26000,Yes,,-121.85,43.84
,,,1174,Cultus Lake,Oregon,1966,Waterton Lake ,2,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,90000,,,-121.85,43.84
,,,1175,Cultus Lake,Oregon,1967,Waterton Lake ,3,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,100000,,,-121.85,43.84
33,,,1176,Detroit Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,Detroit Reservoir,1988,100000,Yes,,-122.19,44.71
45,,,1179,Fourmile Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,75000,No,,-122.25,42.47
60,,,1180,Ice Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,20000,No,,-117.27,45.23
90,,,1189,Miller Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,160000,No,,-121.95,43.22
96,,,1190,Odell Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,125000,No,,-122,43.57
98,,,1191,Olive Lake,Oregon,1967,Waterton Lake ,1,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,Olive Reservoir,1987,20000,Yes,,-118.6,44.78
130,,,1196,Timothy Lake,Oregon,1965,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,Timothy Reservoir,,20000,No,,-121.78,45.12
,,,1197,Timothy Lake,Oregon,1966,Waterton Lake ,2,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,98000,,,-121.78,45.12
,,,1198,Timothy Lake,Oregon,1967,Waterton Lake ,3,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,60000,,,-121.78,45.12
140,,,1200,Waldo Lake,Oregon,1965,Waterton Lake ,1,kokanee-trout,not_established,Not established.,,,,,,Introduced,-113.9,,48.98,,,,119000,No,,-122.04,43.73
,,,1201,Waldo Lake,Oregon,1966,Waterton Lake ,2,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,200000,,,-122.04,43.73
,,,1202,Waldo Lake,Oregon,1967,Waterton Lake ,3,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,200000,,,-122.04,43.73
141,2,,1203,Wallowa Lake,Oregon,1965,Waterton Lake ,1,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,1986,130000,Yes,,-117.21,45.31
,,,1204,Wallowa Lake,Oregon,1966,Waterton Lake ,2,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,130000,,,-117.21,45.31
,,,1205,Wallowa Lake,Oregon,1967,Waterton Lake ,3,kokanee-trout,,,,,,,,Introduced,-113.9,,48.98,,,,130000,,,-117.21,45.31
27,,,1020,Crowsnest Lake,Alberta,1973,Kootenay Lake,1,lake,not_established,Not established.,,Secondary,Primary,,,Introduced,-116.87,,49.6,,,,75000,No,,-114.64,49.63
122,,,1154,Spray Lakes,Alberta,1982,Upper Kananskis Lake,1,lake,not_established,Not established.,,Secondary,Primary,,,Introduced,-115.16,,50.62,Primary,,,,No,,-115.37,50.88
,,,1015,Canim Lake,British Columbia,1968,Kootenay Lake,2,lake,,,,,,,,Introduced,-116.87,,49.6,,,,300000,,,-120.75,51.86
14,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1097,Capitol Lake,British Columbia,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-107.08,39.16
66,,,1181,Kangaroo Lake,California,1967,Waterton Lake ,1,lake,,,,,,,,Introduced,-113.9,,48.98,,,,28100,,,-122.78,41.23
80,1,,1182,Lake Tahoe,California,1963,Waterton Lake ,1,lake,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.,Decline/elmination of Daphnia species (zooplankton). Collapse of Kokanee population. Decrease in abundance of Lake Trout. Decrease in size of Lake Trout.,,,,,,Introduced,-113.9,,48.98,,,1969,82650,Yes,,-120.03,39.09
,,,1183,Lake Tahoe,California,1964,Waterton Lake ,2,lake,,,,,,,,Introduced,-113.9,,48.98,,,,58650,,,-120.03,39.09
,,,1184,Lake Tahoe,California,1965,Waterton Lake ,3,lake,,,,,,,,Introduced,-113.9,,48.98,,,,167700,,,-120.03,39.09
117,,,1195,Shasta Lake,California,1967,Waterton Lake ,1,lake,,,,,,,,Introduced,-113.9,,48.98,,,,223150,Yes,,-122.37,40.77
131,,,1199,Trinity Lake,California,1967,Waterton Lake ,1,lake,,,,,,,,Introduced,-113.9,,48.98,,"Claire Engle Lake, Claire Eagle Lake",,16400,,,-122.75,40.8
145,,,1206,Whiskeytown Lake,California,1967,Waterton Lake ,1,lake,,,,,,,,Introduced,-113.9,,48.98,,,,3250,,,-122.56,40.63
2,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1090,Aqua Fria Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.64,40.63
5,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1091,Big Creek Lake,Colorado,1969,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,1991,,Yes,,-106.73,40.66
,,,1092,Big Creek Lake,Colorado,1971,Twin Lakes Reservoir,2,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,,,-106.73,40.66
,,,1093,Big Creek Lake,Colorado,1972,Twin Lakes Reservoir,3,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,,,-106.73,40.66
7,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1094,Blodgett Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.54,39.41
8,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1095,Blue Lake (CO),Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.62,40.82
10,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1096,Bowl of Tears Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.47,39.46
17,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1098,Chalk Lake,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.22,39.38
18,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1099,Chambers Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.85,40.6
19,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1100,Chapman Reservoir,Colorado,1970,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,Chapman Dam,,,,,-106.64,39.32
20,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1101,Cheesman Lake,Colorado,1971,Twin Lakes Reservoir,1,lake,not_established,Not established.,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,No,,-105.28,39.2
,,,1102,Cheesman Lake,Colorado,1972,Twin Lakes Reservoir,2,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,,,-105.28,39.2
,,,1103,Cheesman Lake,Colorado,1974,Twin Lakes Reservoir,3,lake,,,,,,,,Introduced,-106.33,,39.08,,,,,,,-105.28,39.2
22,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1104,Clear Creek Reservoir,Colorado,1971,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.25,39.02
25,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1105,Crater Lakes,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-105.68,39.9
29,,The target species is inferred from newspaper articles and reports that all emphasize mysis for lake trout at least into the mid-1970s.,1106,Crystal Pond,Colorado,1972,Twin Lakes Reservoir,1,lake,,,,Secondary,Primary,,,Introduced,-106.33,,39.08,,,,,,,-106.11,39.44
